trade_id,created_at_utc,product_id,window_start_utc,window_end_utc,side,regime,regime_allowed_side,regime_confidence,market_price,spot_price,fee_rate,p_up,p_down,p_side,edge,kelly_fraction,stake_fraction,bankroll_usd,stake_usd,start_price,end_price,outcome_side,status,settled_at_utc,pnl_usd,return_pct,notes
23e9eacd-9ed1-4e8c-978d-4b5a74d623a4,2026-02-15T02:25:30.852586+00:00,BTC-USD,2026-02-15T02:15:00+00:00,2026-02-15T02:30:00+00:00,DOWN,,,,0.5,,0.0156,0.1913104705491657,0.8086895294508343,0.8086895294508343,0.3086895294508343,0.6113155819805653,0.2,100.0,20.0,69502.33,69436.09,DOWN,SETTLED,2026-02-15T02:31:03.196729+00:00,19.385584875935407,0.9692792437967704,
cbcc349c-9a9f-48eb-8e7a-725e50c430f2,2026-03-22T17:13:19.381808+00:00,BTC-USD,2026-03-22T17:13:19.381808+00:00,2026-03-22T17:15:00+00:00,UP,bull,UP,0.9133577545236964,,68827.5,,,,,,,,,,68827.5,68827.47,DOWN,SETTLED,2026-03-22T17:15:42.438128+00:00,-0.0299999999988358,-4.358722894022861e-07,
83f740ad-5b71-431a-8be2-3560143a88a0,2026-03-22T17:33:29.360508+00:00,BTC-USD,2026-03-22T17:33:29.360508+00:00,2026-03-22T17:45:00+00:00,UP,bull,UP,0.913856240667623,,68822.77,,,,,,,,,,68822.77,68692.06,DOWN,SETTLED,2026-03-22T17:46:36.251401+00:00,-130.7100000000064,-0.0018992260846229,
054cd4c1-49c2-4c70-a452-8210516cad2e,2026-03-22T19:21:44.076534+00:00,BTC-USD,2026-03-22T19:21:44.076534+00:00,2026-03-22T19:30:00+00:00,UP,bull,UP,0.974252506176216,,68377.05,,,,,,,,,,68377.05,68282.69,DOWN,SETTLED,2026-03-22T19:30:24.210423+00:00,-94.36000000000058,-0.0013799951884440843,
